Plot,PC1,PC2,PC3,,plotStatus
90,3.093811814,-5.102841311,4.329629637,,Moderately Invaded
91,3.819802931,-4.7293536,5.033327786,,Moderately Invaded
92,0.987516127,-2.58653739,2.167665088,,Moderately Invaded
93,2.649957492,-2.823886105,6.257505224,,Moderately Invaded
94,-2.755139498,0.859426177,-0.276280893,,Moderately Invaded
95,-2.249550637,1.137005245,-0.232983139,,Moderately Invaded
96,-3.557038291,0.761053337,-0.286540014,,Moderately Invaded
97,-1.223527024,1.316135371,0.042595369,,Moderately Invaded
98,-0.834274427,1.523814994,-0.025249848,,Moderately Invaded
99,-1.758296333,1.301564136,0.08151937,,Moderately Invaded
100,-1.794847907,0.925584696,-0.244532076,,Moderately Invaded
101,-1.139831224,1.274322739,-0.192037666,,Moderately Invaded
102,-1.063799022,1.314961231,-0.2561774,,Moderately Invaded
103,-3.216988064,-2.662319875,0.41603664,,Moderately Invaded
104,-1.819433141,-3.201925591,0.309712033,,Moderately Invaded
105,-3.683667346,-1.653232795,0.317490004,,Moderately Invaded
106,-3.851819367,-0.515661011,0.139837817,,Moderately Invaded
107,-2.959513912,-1.653655261,0.277414402,,Moderately Invaded
108,-2.423854886,-2.315311269,-0.128176431,,Moderately Invaded
109,-2.654688866,-1.947765999,-0.499153475,,Moderately Invaded
110,-3.440706636,-0.885897221,0.179964027,,Moderately Invaded
111,-1.366837274,1.764914095,0.544698275,,Moderately Invaded
112,3.341869663,-2.085655187,-0.508765781,,Moderately Invaded
113,-2.351009334,0.661336912,-0.387879073,,Moderately Invaded
114,-2.837074271,0.609363652,-0.323946549,,Moderately Invaded
115,1.153525361,-1.218167817,-0.484549593,,Moderately Invaded
116,-3.783272173,0.442751491,-0.247919408,,Moderately Invaded
117,-2.067573932,1.200756491,-0.01298139,,Moderately Invaded
118,-0.322956821,1.469840481,0.124334641,,Moderately Invaded
119,1.079414919,-1.018076889,-0.239431648,,Moderately Invaded
120,-3.605345352,0.802385391,0.021689939,,Moderately Invaded
121,-2.67309645,1.133410296,0.095998787,,Moderately Invaded
122,-4.007833514,0.527912246,-0.090707497,,Moderately Invaded
123,-2.227957976,0.894071941,-0.119280873,,Moderately Invaded
124,0.840818163,-1.49726311,-1.018131098,,Moderately Invaded
125,-3.526171891,0.777156911,-0.094148447,,Moderately Invaded
126,-1.144397179,1.224934276,-0.154729701,,Moderately Invaded
127,2.395751,-2.010024291,-1.109884269,,Moderately Invaded
128,-4.463756123,0.45309148,-0.033682083,,Moderately Invaded
129,-2.093016029,-0.919307338,0.64292049,,Moderately Invaded
130,-5.024336441,0.154535555,-0.310299085,,Moderately Invaded
131,-3.369602884,0.754470164,-0.101996528,,Moderately Invaded
132,-3.861027423,0.739678705,-0.038317023,,Moderately Invaded
133,-3.377019719,0.816833787,-0.129934843,,Moderately Invaded
134,0.254145325,-0.852132014,-0.639809008,,Moderately Invaded
135,0.417823083,-1.203301773,-0.373976474,,Moderately Invaded
136,-4.050978644,0.492849979,-0.367607568,,Moderately Invaded
137,-3.316165933,0.354241662,-0.295874715,,Moderately Invaded
138,-0.965428432,0.682218512,-0.518950056,,Moderately Invaded
139,-0.662928284,0.600476273,-0.6088834,,Moderately Invaded
140,-2.356706698,0.677147758,0.024975095,,Moderately Invaded
141,-2.944072382,0.105171267,-0.740017295,,Moderately Invaded
142,-1.202660385,0.651908506,0.06810125,,Moderately Invaded
143,0.712713906,1.412666459,0.20965514,,Moderately Invaded
144,-4.315450565,0.221705525,-0.311482241,,Moderately Invaded
145,-2.805548935,0.49589688,-0.550488013,,Moderately Invaded
146,-4.184380929,0.103712522,-0.471701201,,Moderately Invaded
147,-4.786177364,-0.20409883,-0.552446374,,Moderately Invaded
148,-5.265815212,-2.894930029,-1.563443083,,Moderately Invaded
149,-5.21066977,-2.595469905,-1.483041386,,Moderately Invaded
150,-4.992005558,-0.225290292,-0.565994416,,Moderately Invaded
151,-4.56442677,0.012588362,-0.520641986,,Moderately Invaded
152,-4.066015417,0.014074409,-0.561114286,,Moderately Invaded
153,-5.053233874,-2.912367371,-0.739239334,,Moderately Invaded
154,-5.297711267,-1.453354675,-0.611801836,,Moderately Invaded
155,-2.97469592,-3.066748936,-0.517214417,,Moderately Invaded
156,-4.976056124,-2.120684166,-0.81091805,,Moderately Invaded
