plotID,YearStart,YearEnd,siteID,domainID,decimalLatitude,decimalLongitude,nlcdClass,Habitat,I,N,NI,EF,c8To0Concentration,c10To0Concentration,c11To0Concentration,lipid2OH10To0Concentration,c12To0Concentration,c13To0Concentration,lipid2OH12To0Concentration,lipid3OH12To0Concentration,c14To1Concentration,c14To0Concentration,i14To0Concentration,i15To0Concentration,aC15To0Concentration,c15To0Concentration,c15To1Concentration,lipid2OH14To0Concentration,lipid3OH14To0Concentration,i16To0Concentration,cis16To1n9Concentration,c16To1n7Concentration,c16To1Cis11Concentration,c16To0Concentration,lipid10Methyl16To0Concentration,i17To0Concentration,c17To1Concentration,cyclo17To0Concentration,c17To0Concentration,c17To0AnteisoConcentration,c17To1n7Concentration,lipid2OH16To0Concentration,lipid10Methyl17To0Concentration,lipid10Methyl17To1Concentration,c18To1n13Concentration,c18To3n6Concentration,cis18To2n912Concentration,cis18To1n9Concentration,trans18To1n9Concentration,trans18To2n912Concentration,c18To3n3Concentration,c18To1n11Concentration,c18To0Concentration,lipid10Methyl18To0Concentration,lipid10Methyl18To1Concentration,cyclo19To0Concentration,c19To0Concentration,c19To1Cis10Concentration,c20To4n6Concentration,c20To5n3Concentration,c20To3n6Concentration,c20To2Concentration,c20To1Concentration,c20To3n3Concentration,c20To0Concentration,c21To0Concentration,c22To2Concentration,c22To1n9Concentration,c22To0Concentration,c22To6CisConcentration,c23To0Concentration,c24To1Concentration,c24To0Concentration,totalLipidConcentration,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,soilMoisture,soilInWaterpH,rootC_s,rootN_s,CNratio_s,MI_s,diameter_s,SRL_s,RMF_s,RD_s,RTD_s
ORNL_003,2020,2021,ORNL,D07,35.965875,-84.230646,deciduousForest,Deciduous Forest,-1.4,-28.95,0,-0.632338548,,0,0,-0.095,-0.076666667,0,,,-0.05,-0.445,-0.215,-4.098333333,-1.845,-0.3,0,,,-1.945,-0.601666667,1.185,-0.441666666,-6.015,-3.783333333,-0.968333333,0,-1.135,-0.145,-0.551666667,1.536666667,-0.056666667,-0.306666667,0.683333333,1.523333333,0,0.175,-3.18,,,,-1.06166667,,-0.583333333,1.4,-10.49666667,,0,-0.228333333,-0.151666666,-0.18,0.265,-0.211666667,,-0.456666667,-0.128333333,0,-0.05,-0.438333334,-0.018333333,-0.058333333,0,-0.411666667,-33.95333337,-0.296192948,0.46716608,0.010024876,-0.011667956,0.33118341,-0.235888889,-0.058333333,-602.0000006,-12.46000001,-1.50816482,-16.86801613,-3.976,-77.41999994,-0.222357362,-7.672551261,-0.364
ORNL_006,2020,2021,ORNL,D07,35.938227,-84.32368,deciduousForest,Deciduous Forest,-3.25,-19.14166667,0,-3.022342334,,0,0,0,0.028333333,0,,,0,-0.171666666,-0.288333334,-1.418333333,-1.028333333,-0.08,0,,,-0.646666667,-0.095,0.636666667,-0.241666666,-2.44666667,-1.46,-0.513333333,0,-0.375,-0.126666667,-0.44,0.958333333,0,-0.115,0.508333333,0.918333333,0.105,0.106666666,-0.435,,,,-1.501666666,,-0.675,0.776666667,-2.370000003,,0,0.006666666,-0.048333333,-0.07,0.391666666,-0.163333333,,-0.21,0,0,0,-0.191666667,0,-0.048333333,0,-0.185,-10.90833334,0.718700265,-0.90685714,-0.093527852,-0.683671429,0.23888889,-0.0105,-0.173333333,-1353.750101,-28.01493751,9.131000334,-23.15885809,-10.24190859,-160.7440534,-0.564012303,-19.62561039,-0.927771584
ORNL_027,2020,2021,ORNL,D07,35.916313,-84.263286,evergreenForest,Evergreen Forest,2.25,-24.15833334,0,4.723475508,,0,0,0,0,0,,,0,-0.1,0.005,-0.895,-0.558333333,-0.065,0,,,-0.543333334,0.665,0.685,0.283333333,-1.955,0.105,-0.316666666,0,-0.178333333,-0.065,-0.271666666,0.8,0,-0.08,0.73,0.796666667,-0.028333333,0.428333333,-0.001666667,,,,0.856666667,,-0.26,0.59,-2.38,,0,-0.048333333,-0.021666666,-0.07,0.278333333,-0.023333333,,-0.283333333,0,0,0,-0.223333334,0,0,0,-0.166666667,-2.315,-0.02223114,0.107859,0.028602296,0.546243364,-0.11111111,-0.021888889,-0.015,169.5557922,29.63408777,-6.306004834,279.6969925,-1.246926539,-452.0801406,6.419082727,3115.303325,3.187209742
ORNL_046,2020,2021,ORNL,D07,35.964418,-84.285882,deciduousForest,Deciduous Forest,-1,2.625,0,-3.614920269,,0,0,-0.043333333,0,0,,,0,-0.385,-0.145,-2.958333333,-1.155,-0.348333333,0,,,-1.186666667,-0.258333333,0.54,-0.221666667,-6.59833333,-1.595,-0.591666667,0,-0.913333334,-0.321666667,-0.525,1.048333333,-0.051666667,-0.206666667,0.343333333,0.585,0,-0.345,-1.195,,,,-0.558333333,,-1.023333333,0.701666667,-5.100000003,,0,-0.066666666,0.138333334,-0.28,0.336666667,-0.098333333,,-0.446666667,-0.023333333,0,0,-0.446666667,0,-0.135,0,-0.668333333,-24.18,-0.341302225,-0.03823115,0.068634835,1.074086273,-2.60625,0.019277777,-0.115,,,,-40,,,,,
ORNL_049,2020,2021,ORNL,D07,35.964792,-84.278894,deciduousForest,Deciduous Forest,0.458333333,-0.81666667,0,0.871565338,,0,0,-0.065,-0.088333333,0,,,-0.036666667,-0.461666667,-0.343333333,-2.886666667,-1.705,-0.326666667,0,,,-1.153333333,-1.743333333,0.665,-0.905,-6.891666667,-1.978333334,-0.825,0,-1.365,-0.475,-0.758333333,1.085,-0.021666667,-0.24,0.551666667,1.053333333,0.061666667,-1.915,-3.068333333,,,,-5.654999997,,-0.896666667,0.913333333,-5.4,,0,-0.426666667,-0.216666667,-0.336666667,0.13,-0.126666667,,-0.52,0,0,0,-0.443333333,-0.02,-0.103333333,0,-0.46,-37.42333333,-0.107281553,0.24342948,-0.067961165,-0.649181749,0.24705882,-0.113277778,-0.243333333,197.0833334,4.079166667,0.493744435,5.522267181,1.301666666,25.3458333,0.072795565,2.511847137,0.119166667
ORNL_053,2020,2021,ORNL,D07,35.965252,-84.286859,deciduousForest,Deciduous Forest,0.5,-13.66666667,0,1.020408163,,0,0,-0.051666667,0,0,,,0,-0.296666667,-0.198333333,-2.33,-0.941666667,-0.325,0,,,-1.09,-0.556666667,,-0.415,-4.985,-1.455,-0.555,0,-0.72,-0.258333334,-0.468333334,,0,-0.216666666,,,0,-1.126666667,-1.468333334,,,,-1.336666667,,-0.805,,-3.225,,,-0.155,-0.031666667,-0.195,0.173333334,0,,-0.256666666,0,0,0,-0.248333333,0,-0.028333333,0,-0.326666666,-21.07833334,0.459345067,0.09312337,-0.02500778,-0.384469564,-0.38368984,0.0305,-0.15,215.0000002,4.450000004,0.538630293,6.024291475,1.42,27.64999998,0.079413344,2.740196879,0.13
PUUM_031,2019,2020,PUUM,D20,19.553624,-155.319191,evergreenForest,Evergreen Forest,44.25,56.54166666,0,1.26010094,,0,0,-0.142,-0.352,0,,,-0.424,-1.81,-0.716,-11.662,-5.284,-1.44,0,,,-3.628,-10.098,0,-6.71,-24.744,-14.86,-2.916,0,-3.494,-2.262,-1.852,0,-0.166,-0.662,0,0,-0.578,-10.384,-19.44,,,,-17.064,,-2.192,0,-12.998,,0,-7.142,-3.946,-0.74,-3.528,0.71,,-0.304,-0.026,-0.114,0,-0.098,-0.142,-0.392,0,-0.506,-172.18,0.6275,0.01125,0.002875,0.0635,0.24625,0.03925,-0.215,22150.60359,1360.309256,82330.26861,6347.957984,7.858245415,8631.444214,3.935417646,2044.681874,8.143203644
SCBI_003,2020,2021,SCBI,D02,38.883308,-78.120371,deciduousForest,Deciduous Forest,14.75,41.60833337,0,5.041561612,,0,0,0,0.098333333,0,,,0.015,-0.081666667,0.366666667,-1.975,-0.401666667,0.016666666,0,,,-0.35,0.61833334,2.703333333,0.426666667,-2.245,-0.36666666,-0.443333333,0,-0.238333333,-0.123333333,-0.066666667,1.753333333,0.056666666,-0.011666666,2.078333333,3.151666667,0,0.341666667,-0.47666667,,,,0.45666666,,-0.071666666,1.903333333,-2.355,,0,-0.58,-0.111666667,-0.155,0.573333334,-0.273333333,,-0.266666667,0.026666667,0.021666666,-0.033333333,-0.015,0.023333333,-0.008333333,0,-0.201666666,3.79,0.142679127,-0.19131607,0.048963716,1.58580097,-0.18452381,0.115055555,0.015,5924.478083,237.7633986,117.5584324,646.0498927,2.275637139,5749.969237,4.984503458,479.8074484,8.469770152
SCBI_004,2020,2021,SCBI,D02,38.896938,-78.146458,deciduousForest,Deciduous Forest,33.525,23.9,-1.175,0.642425582,,0,0,0,0.066666667,0,,,0,-0.411666666,-1.291666667,-3.826666667,-2.835,-0.206666666,0,,,-1.293333333,-2.18,1.646666667,-1.83,-6.03,-6.10166666,-1.156666667,0,-1.113333333,-0.176666666,-1.106666667,1.23,-0.026666667,-0.101666667,1.35,1.716666667,0,0.191666667,-2.213333333,,,,-5.88833333,,-0.943333334,1.196666667,-2.34,,0,-0.53,-0.17,-0.21,0.665,-0.693333334,,-0.381666667,0.048333333,0,-0.021666667,0.035,0.021666667,0,0,0.125,-34.7816667,0.317020202,0.06507246,-0.014535353,-0.41887198,-0.06388889,0.045222223,-0.556666666,10494.59645,549.7227824,918.6966593,3533.98705,0.95323252,-190.6522704,27.94520384,898.4490298,65.47150723
SCBI_005,2020,2021,SCBI,D02,38.900538,-78.16186,deciduousForest,Deciduous Forest,14.4,-4.333333333,0,7.64416064,,0,0,0,0.035,0,,,0,-0.29,-1.115,-2.461666667,-1.733333333,-0.16,0,,,-0.74,-1.056666667,1.116666667,-0.808333333,-2.74833333,-3.039999997,-0.555,0,-0.65,-0.146666667,-0.491666666,0.888333333,0,-0.13,1.108333333,1.175,0.046666667,0.125,-1.588333333,,,,-3.003333333,,-0.856666667,0.638333333,-2.866666663,,0,0.278333333,-0.028333333,-0.035,0.446666667,-0.215,,-0.263333333,0,0,-0.05,0.018333334,0.025,0,0,-0.018333333,-19.17333333,-0.078357487,-0.12156566,-0.00789855,-0.435845958,0.40138889,0.056333333,-0.507777777,6508.543721,216.9582871,227.0680626,810.3994197,7.717930565,1723.015915,3.79153765,1761.85698,3.499446579
